dimension,moyenne,mediane,ecart_type,n_non_na
Comp Benefit,3.942502650410814,4,1.0385972078784744,60368
Culture Values,3.7844506603930865,4,1.296220369172763,53983
Career Opportunities,3.6340345244203176,4,1.2257868154162976,60421
Work Balance,3.373254484917756,3.5,1.2999014767462522,60369
Senior Management,3.3225223416005623,3,1.3124488074786016,59754
