company,n_avis,note_moyenne,note_mediane,ecart_type
facebook,1590,4.511949685534591,5,0.9556802314738874
google,7819,4.339429594577312,5,0.9206948069810759
apple,12950,3.9582239382239384,4,1.0640322271064888
microsoft,17930,3.816564417177914,4,1.0364993934869795
amazon,26430,3.587362845251608,4,1.2573109698115685
netflix,810,3.411111111111111,4,1.4151310177084642
