review_year,n_avis,note_moyenne
2008,1365,3.73992673992674
2009,929,3.4833153928955864
2010,1130,3.4522123893805308
2011,1710,3.515204678362573
2012,3210,3.7990654205607477
2013,3859,3.734646281420057
2014,5941,3.7446557818549064
2015,10140,3.8122287968441815
2016,11490,3.862750217580505
2017,14075,3.911758436944938
2018,13676,3.8863702837086866
